"PNM Name","ID","Class","R1S1","R1S2","R1S3","R1S4","R1S5","R1S6","R1S7","R1S8","R1S9","R1S10","R1S11","R1S12","Round 1 Average","R2S1","R2S2","R2S3","R2S4","R2S5","R2S6","R2S7","R2S8","R2S9","R2S10","R2S11","R2S12","Round 2 Average","R3S1","R3S2","R3S3","R3S4","R3S5","R3S6","R3S7","R3S8","R3S9","R3S10","R3S11","R3S12","Round 3 Average","R4S1","R4S2","R4S3","R4S4","R4S5","R4S6","R4S7","R4S8","R4S9","R4S10","R4S11","R4S12","Round 4 Average"
"Hall, Jessica",8530,"FR",2,2,4,4,4,2,4,2,4,4,2,2,"",4,4,4,4,4,2,4,2,2,2,4,2,"",2,2,4,2,2,4,4,4,2,2,4,4,"",4,4,4,2,2,2,2,2,4,2,4,4,""
"Walker, Jennifer",5827,"SM",4,4,2,2,4,4,2,4,4,4,2,4,"",2,2,2,2,4,2,4,4,2,4,4,2,"",4,4,4,4,2,2,4,2,4,4,2,2,"",2,2,4,2,2,4,2,2,2,4,4,4,""
"Lewis, Sarah",3918,"FR",2,4,4,4,2,2,4,2,2,2,4,4,"",2,2,4,2,4,4,2,2,4,2,2,4,"",2,2,2,2,4,4,2,4,4,4,2,4,"",4,4,4,4,4,2,4,2,2,4,2,2,""
"Clark, Ashley",8359,"FR",4,4,4,4,4,4,4,4,2,4,2,4,"",4,4,4,4,4,2,2,4,4,2,4,2,"",4,2,2,4,2,4,2,2,4,2,4,2,"",4,2,2,4,2,2,4,4,2,2,4,4,""
"Harris, Amanda",4572,"FR",2,2,4,2,2,2,2,4,4,2,4,2,"",4,2,2,4,2,4,2,2,2,4,2,4,"",4,4,4,4,4,4,2,2,4,2,4,2,"",4,4,4,4,4,2,4,2,4,2,2,4,""
"Gonzalez, Emily",6934,"SM",4,4,2,2,2,4,2,2,4,2,2,2,"",4,4,4,2,2,4,4,2,4,4,2,4,"",2,2,4,4,4,4,2,4,2,4,2,2,"",2,4,4,2,4,4,2,4,4,4,4,2,""
"Lee, Melissa",2815,"FR",2,2,2,4,4,2,4,4,2,2,4,2,"",2,2,2,2,2,2,4,2,2,4,2,2,"",2,2,4,2,2,2,2,4,4,2,4,2,"",4,4,4,2,4,4,4,2,2,4,2,4,""
"Lopez, Megan",9376,"SM",4,2,4,2,4,4,2,2,4,4,2,4,"",4,4,4,2,2,4,4,4,2,2,4,2,"",4,4,4,4,2,4,2,2,4,4,2,4,"",4,2,4,2,2,2,4,2,2,2,4,4,""
"White, Stephanie",6219,"FR",2,2,4,4,2,2,4,2,2,4,4,2,"",2,4,4,2,4,4,2,4,2,4,2,4,"",2,2,4,4,4,4,4,2,2,2,4,2,"",2,4,4,4,4,2,4,4,2,4,2,2,""
"Thompson, Elizabeth",4197,"SM",4,2,4,2,4,4,2,4,4,2,2,2,"",2,2,2,2,2,2,2,4,2,4,4,2,"",4,2,2,4,4,4,2,2,4,2,4,2,"",4,2,4,2,4,2,4,4,4,2,2,4,""
